"","AZM-M0L1","AZM-M0L2","AZM-M0L3","AZM-N0L1","AZM-N0L2","AZM-N0L3","AZM-NdL1","AZM-NdL2","AZM-NdL3","CIP-M0L1","CIP-M0L2","CIP-M0L3","CIP-N0L1","CIP-N0L2","CIP-N0L3","CIP-NdL1","CIP-NdL2","CIP-NdL3","IPM-M0L1","IPM-M0L2","IPM-M0L3","IPM-N0L1","IPM-N0L2","IPM-N0L3","IPM-NdL1","IPM-NdL2","IPM-NdL3","CEF-M0L1","CEF-M0L2","CEF-M0L3","CEF-N0L1","CEF-N0L2","CEF-N0L3","CEF-NdL1","CEF-NdL2","CEF-NdL3","LVX-M0L1","LVX-M0L2","LVX-M0L3","LVX-N0L1","LVX-N0L2","LVX-N0L3","LVX-NdL1","LVX-NdL2","LVX-NdL3","LNZ-M0L1","LNZ-M0L2","LNZ-M0L3","LNZ-N0L1","LNZ-N0L2","LNZ-N0L3","LNZ-NdL1","LNZ-NdL2","LNZ-NdL3","RIF-M0L1","RIF-M0L2","RIF-M0L3","RIF-N0L1","RIF-N0L2","RIF-N0L3","RIF-NdL1","RIF-NdL2","RIF-NdL3","VNC-M0L1","VNC-M0L2","VNC-M0L3","VNC-N0L1","VNC-N0L2","VNC-N0L3","VNC-NdL1","VNC-NdL2","VNC-NdL3","MEM-M0L1","MEM-M0L2","MEM-M0L3","MEM-N0L1","MEM-N0L2","MEM-N0L3","MEM-NdL1","MEM-NdL2","MEM-NdL3","PEN-M0L1","PEN-M0L2","PEN-M0L3","PEN-N0L1","PEN-N0L2","PEN-N0L3","PEN-NdL1","PEN-NdL2","PEN-NdL3"
"VNC-N0L2",0.4,0.222222222222222,0.285714285714286,0.25,0.142857142857143,0.333333333333333,0.181818181818182,0.2,0.222222222222222,0.181818181818182,0.0833333333333334,0.133333333333333,0.285714285714286,0.25,0.142857142857143,0.25,0.25,0.25,0.2,0.222222222222222,0.222222222222222,0.153846153846154,0.285714285714286,0.25,0.166666666666667,0.166666666666667,0.181818181818182,0.037037037037037,0.0399999999999999,0.027027027027027,0.0303030303030303,0.0666666666666667,0.0833333333333334,0.0416666666666666,0.0285714285714286,0.0625,0.166666666666667,0.105263157894737,0.117647058823529,0.1,0.125,0.0952380952380953,0.0909090909090909,0.0909090909090909,0.105263157894737,0.0869565217391304,0.0645161290322581,0.0714285714285714,0.142857142857143,0.0952380952380953,0.0909090909090909,0.117647058823529,0.08,0.1,0.4,0.222222222222222,0.333333333333333,0.133333333333333,0.4,0.25,0.4,0.2,0.2,0.0833333333333334,0,0.0625,0.4,1,0.5,0.222222222222222,0.285714285714286,0.181818181818182,0.1,0.0909090909090909,0,0.25,0.2,0,0.0588235294117647,0.0499999999999999,0.111111111111111,0.222222222222222,0.0833333333333334,0.0833333333333334,0.2,0.1,0.285714285714286,0.0499999999999999,0.0476190476190477,0.076923076923077
"VNC-N0L3",0.4,0.222222222222222,0.285714285714286,0.25,0.142857142857143,0.333333333333333,0.181818181818182,0.2,0.222222222222222,0.181818181818182,0.0833333333333334,0.133333333333333,0.285714285714286,0.25,0.142857142857143,0.25,0.25,0.25,0.2,0.222222222222222,0.222222222222222,0.153846153846154,0.285714285714286,0.25,0.166666666666667,0.166666666666667,0.181818181818182,0.037037037037037,0.0399999999999999,0.027027027027027,0.0625,0.103448275862069,0.130434782608696,0.0416666666666666,0.0285714285714286,0.0625,0.166666666666667,0.105263157894737,0.117647058823529,0.1,0.125,0.0952380952380953,0.0909090909090909,0.0909090909090909,0.105263157894737,0.0869565217391304,0.0645161290322581,0.0714285714285714,0.142857142857143,0.0952380952380953,0.0909090909090909,0.117647058823529,0.125,0.1,0.4,0.222222222222222,0.6,0.133333333333333,0.4,0.25,0.4,0.2,0.2,0.0833333333333334,0,0.0625,0.4,0.5,1,0.222222222222222,0.285714285714286,0.181818181818182,0.1,0.0909090909090909,0,0.25,0.2,0,0.0588235294117647,0.0499999999999999,0.111111111111111,0.222222222222222,0.0833333333333334,0.0833333333333334,0.2,0.1,0.285714285714286,0.0499999999999999,0.0476190476190477,0.076923076923077
"VNC-NdL1",0.2,0.142857142857143,0.166666666666667,0.153846153846154,0.0833333333333334,0.181818181818182,0.125,0.133333333333333,0.142857142857143,0.125,0.0588235294117647,0.1,0.166666666666667,0.153846153846154,0.0833333333333334,0.25,0.153846153846154,0.153846153846154,0.133333333333333,0.142857142857143,0.142857142857143,0.111111111111111,0.166666666666667,0.153846153846154,0.117647058823529,0.117647058823529,0.125,0.03125,0.0333333333333334,0.0238095238095237,0.0263157894736842,0.0571428571428572,0.0689655172413793,0.0344827586206896,0.025,0.0540540540540539,0.117647058823529,0.0833333333333334,0.0909090909090909,0.125,0.0952380952380953,0.076923076923077,0.0740740740740741,0.0740740740740741,0.130434782608696,0.111111111111111,0.0857142857142857,0.0606060606060607,0.166666666666667,0.12,0.115384615384615,0.142857142857143,0.103448275862069,0.125,0.2,0.142857142857143,0.181818181818182,0.1,0.2,0.153846153846154,0.2,0.214285714285714,0.133333333333333,0.0588235294117647,0,0.0476190476190477,0.2,0.222222222222222,0.222222222222222,1,0.272727272727273,0.125,0.0666666666666667,0.0625,0,0.153846153846154,0.133333333333333,0,0.0952380952380953,0.0833333333333334,0.0714285714285714,0.142857142857143,0.0588235294117647,0.0588235294117647,0.133333333333333,0.142857142857143,0.166666666666667,0.0399999999999999,0.08,0.0555555555555556
"VNC-NdL2",0.25,0.166666666666667,0.2,0.181818181818182,0.1,0.222222222222222,0.142857142857143,0.153846153846154,0.166666666666667,0.142857142857143,0.0666666666666667,0.111111111111111,0.2,0.181818181818182,0.1,0.3,0.181818181818182,0.181818181818182,0.153846153846154,0.166666666666667,0.166666666666667,0.125,0.2,0.181818181818182,0.133333333333333,0.133333333333333,0.142857142857143,0.0333333333333334,0.0357142857142857,0.025,0.0277777777777778,0.0606060606060607,0.0740740740740741,0.037037037037037,0.0263157894736842,0.0571428571428572,0.133333333333333,0.0909090909090909,0.1,0.0869565217391304,0.105263157894737,0.0833333333333334,0.08,0.08,0.142857142857143,0.076923076923077,0.0909090909090909,0.0645161290322581,0.1875,0.130434782608696,0.125,0.157894736842105,0.0714285714285714,0.136363636363636,0.25,0.166666666666667,0.222222222222222,0.111111111111111,0.25,0.181818181818182,0.25,0.153846153846154,0.153846153846154,0.0666666666666667,0,0.0526315789473684,0.25,0.285714285714286,0.285714285714286,0.272727272727273,1,0.142857142857143,0.076923076923077,0.0714285714285714,0,0.181818181818182,0.25,0,0.0499999999999999,0.0434782608695652,0.0833333333333334,0.166666666666667,0.0666666666666667,0.0666666666666667,0.153846153846154,0.076923076923077,0.2,0.0434782608695652,0.0869565217391304,0.0625
"VNC-NdL3",0.166666666666667,0.2,0.142857142857143,0.133333333333333,0.0714285714285714,0.153846153846154,0.176470588235294,0.1875,0.2,0.176470588235294,0.111111111111111,0.142857142857143,0.142857142857143,0.133333333333333,0.0714285714285714,0.133333333333333,0.133333333333333,0.133333333333333,0.1875,0.125,0.2,0.157894736842105,0.142857142857143,0.133333333333333,0.166666666666667,0.166666666666667,0.111111111111111,0.0606060606060607,0.0645161290322581,0.0465116279069767,0.025,0.0540540540540539,0.0645161290322581,0.032258064516129,0.0750000000000001,0.0789473684210525,0.166666666666667,0.12,0.130434782608696,0.0740740740740741,0.0869565217391304,0.0714285714285714,0.148148148148148,0.148148148148148,0.166666666666667,0.103448275862069,0.0810810810810811,0.088235294117647,0.210526315789474,0.153846153846154,0.148148148148148,0.181818181818182,0.0967741935483871,0.16,0.272727272727273,0.2,0.25,0.142857142857143,0.272727272727273,0.416666666666667,0.272727272727273,0.1875,0.357142857142857,0.111111111111111,0.0666666666666667,0.333333333333333,0.272727272727273,0.181818181818182,0.181818181818182,0.125,0.142857142857143,1,0.125,0.117647058823529,0,0.307692307692308,0.117647058823529,0,0.0869565217391304,0.076923076923077,0.0625,0.125,0.0526315789473684,0.111111111111111,0.117647058823529,0.0588235294117647,0.142857142857143,0.076923076923077,0.0740740740740741,0.0499999999999999
"MEM-M0L1",0.0909090909090909,0.142857142857143,0.076923076923077,0.0714285714285714,0.0833333333333334,0.0833333333333334,0.125,0.133333333333333,0.142857142857143,0.125,0.125,0.1,0.076923076923077,0.0714285714285714,0.0833333333333334,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.133333333333333,0.0666666666666667,0.230769230769231,0.0526315789473684,0.076923076923077,0.0714285714285714,0.117647058823529,0.1875,0.125,0.0645161290322581,0.0689655172413793,0.048780487804878,0.0540540540540539,0.0571428571428572,0.0333333333333334,0.0714285714285714,0.0789473684210525,0.0540540540540539,0.117647058823529,0.0833333333333334,0.0909090909090909,0.0384615384615385,0.0454545454545455,0.037037037037037,0.0740740740740741,0.0740740740740741,0.0833333333333334,0.0714285714285714,0.0555555555555556,0.0606060606060607,0.105263157894737,0.076923076923077,0.0740740740740741,0.0909090909090909,0.0666666666666667,0.08,0.0909090909090909,0.0666666666666667,0.0833333333333334,0.1,0.0909090909090909,0.0714285714285714,0.0909090909090909,0.0625,0.0625,0.125,0.076923076923077,0.157894736842105,0.0909090909090909,0.1,0.1,0.0666666666666667,0.076923076923077,0.125,1,0.307692307692308,0,0.0714285714285714,0.0625,0,0.0952380952380953,0.0399999999999999,0.0714285714285714,0.0666666666666667,0.125,0.2,0.0625,0.0666666666666667,0.076923076923077,0.130434782608696,0.125,0.117647058823529
"MEM-M0L2",0.0833333333333334,0.133333333333333,0.0714285714285714,0.0666666666666667,0.076923076923077,0.076923076923077,0.117647058823529,0.125,0.133333333333333,0.117647058823529,0.117647058823529,0.0952380952380953,0.0714285714285714,0.0666666666666667,0.076923076923077,0.0666666666666667,0.0666666666666667,0.0666666666666667,0.125,0.0625,0.214285714285714,0.0499999999999999,0.0714285714285714,0.0666666666666667,0.111111111111111,0.176470588235294,0.117647058823529,0.0967741935483871,0.103448275862069,0.0731707317073171,0.0526315789473684,0.0857142857142857,0.0666666666666667,0.107142857142857,0.105263157894737,0.0810810810810811,0.111111111111111,0.08,0.0869565217391304,0.037037037037037,0.0434782608695652,0.0357142857142857,0.0714285714285714,0.0714285714285714,0.08,0.0689655172413793,0.0540540540540539,0.0588235294117647,0.1,0.0740740740740741,0.0714285714285714,0.0869565217391304,0.0645161290322581,0.076923076923077,0.0833333333333334,0.0625,0.076923076923077,0.0952380952380953,0.0833333333333334,0.0666666666666667,0.0833333333333334,0.0588235294117647,0.0588235294117647,0.117647058823529,0.0714285714285714,0.15,0.0833333333333334,0.0909090909090909,0.0909090909090909,0.0625,0.0714285714285714,0.117647058823529,0.307692307692308,1,0,0.0666666666666667,0.0588235294117647,0,0.333333333333333,0.0384615384615385,0.0666666666666667,0.133333333333333,0.117647058823529,0.1875,0.0588235294117647,0.0625,0.0714285714285714,0.125,0.12,0.111111111111111
"MEM-M0L3",0,0,0.0833333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MEM-N0L1",0.222222222222222,0.153846153846154,0.181818181818182,0.166666666666667,0.0909090909090909,0.2,0.133333333333333,0.230769230769231,0.153846153846154,0.133333333333333,0.133333333333333,0.166666666666667,0.181818181818182,0.166666666666667,0.0909090909090909,0.166666666666667,0.272727272727273,0.272727272727273,0.142857142857143,0.153846153846154,0.153846153846154,0.117647058823529,0.181818181818182,0.272727272727273,0.125,0.2,0.133333333333333,0.032258064516129,0.0344827586206896,0.024390243902439,0.027027027027027,0.0588235294117647,0.0714285714285714,0.0357142857142857,0.0256410256410257,0.0555555555555556,0.2,0.136363636363636,0.210526315789474,0.0833333333333334,0.1,0.125,0.076923076923077,0.076923076923077,0.0869565217391304,0.115384615384615,0.088235294117647,0.0967741935483871,0.111111111111111,0.08,0.076923076923077,0.0952380952380953,0.107142857142857,0.130434782608696,0.375,0.25,0.333333333333333,0.166666666666667,0.375,0.4,0.375,0.230769230769231,0.333333333333333,0.133333333333333,0.0833333333333334,0.105263157894737,0.222222222222222,0.25,0.25,0.153846153846154,0.181818181818182,0.307692307692308,0.0714285714285714,0.0666666666666667,0,1,0.142857142857143,0.0909090909090909,0.0476190476190477,0.0869565217391304,0.076923076923077,0.25,0.0625,0.133333333333333,0.142857142857143,0.0714285714285714,0.181818181818182,0.0869565217391304,0.0833333333333334,0.125
"MEM-N0L2",0.181818181818182,0.133333333333333,0.153846153846154,0.142857142857143,0.076923076923077,0.166666666666667,0.117647058823529,0.125,0.133333333333333,0.117647058823529,0.0555555555555556,0.0952380952380953,0.153846153846154,0.142857142857143,0.076923076923077,0.142857142857143,0.142857142857143,0.142857142857143,0.125,0.133333333333333,0.133333333333333,0.105263157894737,0.153846153846154,0.142857142857143,0.111111111111111,0.111111111111111,0.117647058823529,0.0303030303030303,0.032258064516129,0.0232558139534883,0.0256410256410257,0.0555555555555556,0.0666666666666667,0.0333333333333334,0.024390243902439,0.0526315789473684,0.111111111111111,0.08,0.0869565217391304,0.076923076923077,0.0909090909090909,0.0740740740740741,0.0714285714285714,0.0714285714285714,0.08,0.0689655172413793,0.0833333333333334,0.0588235294117647,0.1,0.0740740740740741,0.0714285714285714,0.0869565217391304,0.0645161290322581,0.076923076923077,0.181818181818182,0.133333333333333,0.166666666666667,0.0952380952380953,0.181818181818182,0.142857142857143,0.181818181818182,0.125,0.125,0.0555555555555556,0,0.0454545454545455,0.181818181818182,0.2,0.2,0.133333333333333,0.25,0.117647058823529,0.0625,0.0588235294117647,0,0.142857142857143,1,0,0.0434782608695652,0.0384615384615385,0.0666666666666667,0.133333333333333,0.0555555555555556,0.0555555555555556,0.125,0.0625,0.153846153846154,0.0384615384615385,0.037037037037037,0.111111111111111
"MEM-N0L3",0,0,0,0,0,0,0,0.166666666666667,0,0,0.153846153846154,0.117647058823529,0,0,0,0,0.0909090909090909,0.2,0,0,0,0,0,0.0909090909090909,0,0.0666666666666667,0,0,0,0,0,0,0,0,0,0,0.0666666666666667,0.0952380952380953,0.0499999999999999,0,0,0.0869565217391304,0,0,0,0.0384615384615385,0.0294117647058824,0.032258064516129,0,0,0,0,0.0357142857142857,0.0434782608695652,0,0,0,0,0,0,0,0,0,0.0714285714285714,0.1,0.0555555555555556,0,0,0,0,0,0,0,0,0,0.0909090909090909,0,1,0,0.0454545454545455,0,0.0833333333333334,0,0.0714285714285714,0,0,0,0.0454545454545455,0.0909090909090909,0.0666666666666667
"MEM-NdL1",0.0555555555555556,0.0952380952380953,0.0499999999999999,0.0476190476190477,0.0526315789473684,0.0526315789473684,0.0869565217391304,0.0909090909090909,0.0952380952380953,0.0869565217391304,0.0869565217391304,0.0740740740740741,0.0499999999999999,0.0476190476190477,0.0526315789473684,0.0476190476190477,0.0476190476190477,0.0476190476190477,0.0909090909090909,0.0454545454545455,0.0952380952380953,0.0384615384615385,0.0499999999999999,0.0476190476190477,0.0399999999999999,0.130434782608696,0.0416666666666666,0.0810810810810811,0.0857142857142857,0.0638297872340425,0.0222222222222223,0.0476190476190477,0.0555555555555556,0.0571428571428572,0.0666666666666667,0.0454545454545455,0.0833333333333334,0.0645161290322581,0.0689655172413793,0.0967741935483871,0.0344827586206896,0.0294117647058824,0.0588235294117647,0.0588235294117647,0.0645161290322581,0.0571428571428572,0.0465116279069767,0.0499999999999999,0.076923076923077,0.0606060606060607,0.0588235294117647,0.0689655172413793,0.0540540540540539,0.0625,0.0555555555555556,0.0454545454545455,0.0526315789473684,0.0357142857142857,0.0555555555555556,0.0476190476190477,0.0555555555555556,0.142857142857143,0.0434782608695652,0.0869565217391304,0.0499999999999999,0.0740740740740741,0.0555555555555556,0.0588235294117647,0.0588235294117647,0.0952380952380953,0.0499999999999999,0.0869565217391304,0.0952380952380953,0.333333333333333,0,0.0476190476190477,0.0434782608695652,0,1,0.434782608695652,0.0476190476190477,0.0952380952380953,0.0416666666666666,0.0869565217391304,0.0434782608695652,0.0952380952380953,0.0499999999999999,0.0645161290322581,0.0625,0.0399999999999999
"MEM-NdL2",0.0476190476190477,0.0399999999999999,0.0434782608695652,0.0416666666666666,0.0454545454545455,0.0454545454545455,0.037037037037037,0.08,0.0399999999999999,0.037037037037037,0.076923076923077,0.0666666666666667,0.0434782608695652,0.0416666666666666,0.0454545454545455,0.0416666666666666,0.0869565217391304,0.0869565217391304,0.0384615384615385,0.0399999999999999,0.0399999999999999,0.0344827586206896,0.0434782608695652,0.0869565217391304,0.0357142857142857,0.115384615384615,0.037037037037037,0.0238095238095237,0.025,0.0192307692307693,0.0208333333333334,0.0217391304347826,0.025,0.0256410256410257,0.02,0.0208333333333334,0.0740740740740741,0.0588235294117647,0.0625,0.088235294117647,0.03125,0.0555555555555556,0.0263157894736842,0.0263157894736842,0.0285714285714286,0.0810810810810811,0.0434782608695652,0.0465116279069767,0.0333333333333334,0.027027027027027,0.0263157894736842,0.0303030303030303,0.0499999999999999,0.088235294117647,0.0476190476190477,0.0399999999999999,0.0454545454545455,0.0666666666666667,0.0476190476190477,0.0416666666666666,0.0476190476190477,0.125,0.08,0.076923076923077,0.0434782608695652,0.103448275862069,0.0476190476190477,0.0499999999999999,0.0499999999999999,0.0833333333333334,0.0434782608695652,0.076923076923077,0.0399999999999999,0.0384615384615385,0,0.0869565217391304,0.0384615384615385,0.0454545454545455,0.434782608695652,1,0.0416666666666666,0.0833333333333334,0.037037037037037,0.076923076923077,0.0384615384615385,0.0833333333333334,0.0434782608695652,0.0588235294117647,0.0571428571428572,0.0740740740740741
"MEM-NdL3",0.1,0.0714285714285714,0.0833333333333334,0.076923076923077,0.0909090909090909,0.0909090909090909,0.0625,0.0666666666666667,0.0714285714285714,0.0625,0.0625,0.0499999999999999,0.0833333333333334,0.076923076923077,0.0909090909090909,0.076923076923077,0.076923076923077,0.076923076923077,0.0666666666666667,0.0714285714285714,0.0714285714285714,0.0555555555555556,0.0833333333333334,0.076923076923077,0.0588235294117647,0.0588235294117647,0.0625,0.032258064516129,0.0344827586206896,0.024390243902439,0.027027027027027,0.0285714285714286,0.0344827586206896,0.0357142857142857,0.0256410256410257,0.027027027027027,0.0588235294117647,0.0416666666666666,0.0454545454545455,0.0399999999999999,0.0476190476190477,0.0384615384615385,0.037037037037037,0.037037037037037,0.0416666666666666,0.0357142857142857,0.0277777777777778,0.0303030303030303,0.0526315789473684,0.0384615384615385,0.037037037037037,0.0454545454545455,0.0333333333333334,0.0399999999999999,0.1,0.0714285714285714,0.0909090909090909,0.0499999999999999,0.1,0.076923076923077,0.1,0.0666666666666667,0.0666666666666667,0.0625,0,0.105263157894737,0.1,0.111111111111111,0.111111111111111,0.0714285714285714,0.0833333333333334,0.0625,0.0714285714285714,0.0666666666666667,0,0.076923076923077,0.0666666666666667,0,0.0476190476190477,0.0416666666666666,1,0.0714285714285714,0.0625,0.0625,0.0666666666666667,0.0714285714285714,0.0833333333333334,0.0416666666666666,0.0399999999999999,0.0588235294117647
"PEN-M0L1",0.2,0.142857142857143,0.166666666666667,0.153846153846154,0.0833333333333334,0.181818181818182,0.125,0.214285714285714,0.142857142857143,0.125,0.125,0.157894736842105,0.166666666666667,0.153846153846154,0.0833333333333334,0.153846153846154,0.25,0.25,0.133333333333333,0.142857142857143,0.142857142857143,0.111111111111111,0.166666666666667,0.25,0.117647058823529,0.1875,0.125,0.0645161290322581,0.0689655172413793,0.048780487804878,0.0263157894736842,0.088235294117647,0.107142857142857,0.0714285714285714,0.0512820512820512,0.0833333333333334,0.1875,0.130434782608696,0.142857142857143,0.08,0.0952380952380953,0.12,0.0740740740740741,0.0740740740740741,0.0833333333333334,0.111111111111111,0.0857142857142857,0.09375,0.105263157894737,0.076923076923077,0.0740740740740741,0.0909090909090909,0.103448275862069,0.125,0.2,0.142857142857143,0.181818181818182,0.1,0.2,0.153846153846154,0.2,0.133333333333333,0.133333333333333,0.125,0.166666666666667,0.1,0.2,0.222222222222222,0.222222222222222,0.142857142857143,0.166666666666667,0.125,0.0666666666666667,0.133333333333333,0,0.25,0.133333333333333,0.0833333333333334,0.0952380952380953,0.0833333333333334,0.0714285714285714,1,0.0588235294117647,0.125,0.133333333333333,0.0666666666666667,0.272727272727273,0.0833333333333334,0.08,0.117647058823529
"PEN-M0L2",0.076923076923077,0.0588235294117647,0.0666666666666667,0.0625,0.0714285714285714,0.0714285714285714,0.111111111111111,0.0555555555555556,0.0588235294117647,0.0526315789473684,0.0526315789473684,0.0434782608695652,0.142857142857143,0.0625,0.0714285714285714,0.0625,0.0625,0.0625,0.0555555555555556,0.0588235294117647,0.125,0.0476190476190477,0.0666666666666667,0.0625,0.105263157894737,0.105263157894737,0.111111111111111,0.0606060606060607,0.03125,0.0227272727272727,0.0512820512820512,0.0540540540540539,0.03125,0.0666666666666667,0.048780487804878,0.0512820512820512,0.0499999999999999,0.076923076923077,0.0399999999999999,0.0357142857142857,0.0869565217391304,0.0344827586206896,0.0333333333333334,0.0333333333333334,0.037037037037037,0.032258064516129,0.0256410256410257,0.0277777777777778,0.0454545454545455,0.0344827586206896,0.0333333333333334,0.0399999999999999,0.0303030303030303,0.0357142857142857,0.076923076923077,0.0588235294117647,0.0714285714285714,0.2,0.076923076923077,0.0625,0.076923076923077,0.0555555555555556,0.0555555555555556,0.0526315789473684,0,0.0909090909090909,0.076923076923077,0.0833333333333334,0.0833333333333334,0.0588235294117647,0.0666666666666667,0.0526315789473684,0.125,0.117647058823529,0,0.0625,0.0555555555555556,0,0.0416666666666666,0.037037037037037,0.0625,0.0588235294117647,1,0.25,0.0555555555555556,0.0588235294117647,0.0666666666666667,0.473684210526316,0.16,0.235294117647059
"PEN-M0L3",0.076923076923077,0.125,0.0666666666666667,0.0625,0.0714285714285714,0.0714285714285714,0.111111111111111,0.1875,0.125,0.111111111111111,0.176470588235294,0.142857142857143,0.0666666666666667,0.0625,0.0714285714285714,0.0625,0.133333333333333,0.133333333333333,0.117647058823529,0.0588235294117647,0.2,0.0476190476190477,0.0666666666666667,0.133333333333333,0.105263157894737,0.235294117647059,0.111111111111111,0.09375,0.0645161290322581,0.0465116279069767,0.0512820512820512,0.0540540540540539,0.03125,0.0666666666666667,0.0750000000000001,0.0512820512820512,0.166666666666667,0.12,0.130434782608696,0.0357142857142857,0.0869565217391304,0.0714285714285714,0.0689655172413793,0.0689655172413793,0.076923076923077,0.103448275862069,0.0810810810810811,0.088235294117647,0.0952380952380953,0.0714285714285714,0.0689655172413793,0.0833333333333334,0.0967741935483871,0.115384615384615,0.076923076923077,0.0588235294117647,0.0714285714285714,0.2,0.076923076923077,0.0625,0.076923076923077,0.0555555555555556,0.0555555555555556,0.176470588235294,0.142857142857143,0.2,0.076923076923077,0.0833333333333334,0.0833333333333334,0.0588235294117647,0.0666666666666667,0.111111111111111,0.2,0.1875,0,0.133333333333333,0.0555555555555556,0.0714285714285714,0.0869565217391304,0.076923076923077,0.0625,0.125,0.25,1,0.0555555555555556,0.0588235294117647,0.0666666666666667,0.272727272727273,0.380952380952381,0.3125
"PEN-N0L1",0.181818181818182,0.133333333333333,0.153846153846154,0.142857142857143,0.076923076923077,0.166666666666667,0.117647058823529,0.125,0.133333333333333,0.117647058823529,0.0555555555555556,0.0952380952380953,0.153846153846154,0.142857142857143,0.076923076923077,0.142857142857143,0.142857142857143,0.142857142857143,0.125,0.214285714285714,0.133333333333333,0.105263157894737,0.153846153846154,0.142857142857143,0.111111111111111,0.111111111111111,0.117647058823529,0.0303030303030303,0.032258064516129,0.0232558139534883,0.0256410256410257,0.0555555555555556,0.103448275862069,0.0333333333333334,0.024390243902439,0.0526315789473684,0.111111111111111,0.08,0.0869565217391304,0.076923076923077,0.0909090909090909,0.0740740740740741,0.0714285714285714,0.111111111111111,0.08,0.0689655172413793,0.0540540540540539,0.0588235294117647,0.1,0.0740740740740741,0.0714285714285714,0.0869565217391304,0.0645161290322581,0.076923076923077,0.181818181818182,0.133333333333333,0.166666666666667,0.0952380952380953,0.181818181818182,0.142857142857143,0.181818181818182,0.125,0.125,0.0555555555555556,0,0.0454545454545455,0.181818181818182,0.2,0.2,0.133333333333333,0.153846153846154,0.117647058823529,0.0625,0.0588235294117647,0,0.142857142857143,0.125,0,0.0434782608695652,0.0384615384615385,0.0666666666666667,0.133333333333333,0.0555555555555556,0.0555555555555556,1,0.0625,0.153846153846154,0.0384615384615385,0.037037037037037,0.0526315789473684
"PEN-N0L2",0.0909090909090909,0.0666666666666667,0.076923076923077,0.0714285714285714,0.0833333333333334,0.0833333333333334,0.0588235294117647,0.0625,0.0666666666666667,0.0588235294117647,0.0588235294117647,0.0476190476190477,0.166666666666667,0.0714285714285714,0.0833333333333334,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0625,0.0666666666666667,0.0666666666666667,0.111111111111111,0.076923076923077,0.0714285714285714,0.0555555555555556,0.0555555555555556,0.0588235294117647,0.03125,0.0333333333333334,0.0238095238095237,0.0263157894736842,0.0277777777777778,0.0689655172413793,0.0344827586206896,0.025,0.0263157894736842,0.0555555555555556,0.0399999999999999,0.0434782608695652,0.125,0.0454545454545455,0.037037037037037,0.0740740740740741,0.0357142857142857,0.0399999999999999,0.0344827586206896,0.027027027027027,0.0294117647058824,0.0499999999999999,0.037037037037037,0.0357142857142857,0.0434782608695652,0.032258064516129,0.0384615384615385,0.0909090909090909,0.0666666666666667,0.0833333333333334,0.0476190476190477,0.0909090909090909,0.0714285714285714,0.0909090909090909,0.133333333333333,0.0625,0.0588235294117647,0,0.0476190476190477,0.0909090909090909,0.1,0.1,0.142857142857143,0.076923076923077,0.0588235294117647,0.0666666666666667,0.0625,0,0.0714285714285714,0.0625,0,0.0952380952380953,0.0833333333333334,0.0714285714285714,0.0666666666666667,0.0588235294117647,0.0588235294117647,0.0625,1,0.076923076923077,0.0399999999999999,0.08,0.0555555555555556
"PEN-N0L3",0.25,0.166666666666667,0.2,0.181818181818182,0.1,0.222222222222222,0.142857142857143,0.153846153846154,0.166666666666667,0.142857142857143,0.0666666666666667,0.111111111111111,0.2,0.181818181818182,0.1,0.181818181818182,0.181818181818182,0.181818181818182,0.153846153846154,0.166666666666667,0.166666666666667,0.125,0.2,0.181818181818182,0.133333333333333,0.133333333333333,0.142857142857143,0.0333333333333334,0.0357142857142857,0.025,0.0277777777777778,0.0606060606060607,0.0740740740740741,0.037037037037037,0.0263157894736842,0.0571428571428572,0.133333333333333,0.0909090909090909,0.1,0.0869565217391304,0.105263157894737,0.0833333333333334,0.08,0.08,0.0909090909090909,0.076923076923077,0.0588235294117647,0.0645161290322581,0.117647058823529,0.0833333333333334,0.08,0.1,0.0714285714285714,0.0869565217391304,0.25,0.166666666666667,0.222222222222222,0.111111111111111,0.25,0.181818181818182,0.25,0.153846153846154,0.153846153846154,0.0666666666666667,0.0909090909090909,0.0526315789473684,0.25,0.285714285714286,0.285714285714286,0.166666666666667,0.2,0.142857142857143,0.076923076923077,0.0714285714285714,0,0.181818181818182,0.153846153846154,0,0.0499999999999999,0.0434782608695652,0.0833333333333334,0.272727272727273,0.0666666666666667,0.0666666666666667,0.153846153846154,0.076923076923077,1,0.0434782608695652,0.0416666666666666,0.0625
